
TEST CASES
case	period	kol_day	koef	pairings
kol_day	koef	30	1,01 	2	127, 166
kol_day	koef	30	1,02 	1	114
kol_day	koef	30	1,03 	1	153
kol_day	koef	30	0,8 	1	140
kol_day	koef	30	1,01 	1	180
kol_day	koef	30	1,07 	1	23
kol_day	koef	30	1,02 	1	10
kol_day	koef	30	0,93	1	49
kol_day	koef	30	1,1 	1	36
kol_day	koef	30	0,7	1	75
kol_day	koef	85	1,02 	1	102
kol_day	koef	85	0,86 	1	63
kol_day	koef	85	0,95 	1	76
kol_day	koef	85	1,01 	1	141
kol_day	koef	85	1,02 	2	154, 167
kol_day	koef	85	1,03 	1	115
kol_day	koef	85	0,8 	1	128
kol_day	koef	85	1,01 	1	187
kol_day	koef	85	1,07 	1	37
kol_day	koef	85	1,02 	1	50
kol_day	koef	85	0,93	1	11
kol_day	koef	85	1,1 	2	24, 181
kol_day	koef	85	0,7	1	89
kol_day	koef	6	1,02 	1	90
kol_day	koef	6	0,86 	1	77
kol_day	koef	6	0,95 	1	64
kol_day	koef	6	1,01 	1	155
kol_day	koef	6	1,02 	1	142
kol_day	koef	6	1,03 	2	129, 168
kol_day	koef	6	0,8 	1	116
kol_day	koef	6	1,01 	1	193
kol_day	koef	6	1,07 	1	51
kol_day	koef	6	1,02 	1	38
kol_day	koef	6	0,93	2	25, 188
kol_day	koef	6	1,1 	1	12
kol_day	koef	6	0,7	1	103
kol_day	koef	1	1,02 	1	26
kol_day	koef	1	0,86 	1	39
kol_day	koef	1	0,95 	1	52
kol_day	koef	1	1,01 	1	130
kol_day	koef	1	1,02 	1	143
kol_day	koef	1	1,03 	1	156
kol_day	koef	1	0,8 	1	169
kol_day	koef	1	1,01 	1	117
kol_day	koef	1	1,07 	1	65
kol_day	koef	1	1,02 	1	78
kol_day	koef	1	0,93	1	91
kol_day	koef	1	1,1 	1	104
kol_day	koef	1	0,7	1	13
